                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.96409,                0.66566,                 1.0474,                0.86784,                0.90323,                0.91169,                0.56183,                 1.5674,                0.82854,                 1.4181,               0.009898,               0.009898,               0.009898
                    106,                0.89865,                0.63833,                 1.0342,                0.83583,                0.87097,                 0.8446,                0.55729,                 1.5966,                0.87148,                 1.4867,               0.009897,               0.009897,               0.009897
                    107,                0.94642,                0.64933,                 1.0349,                0.86059,                0.80645,                0.83088,                 0.5456,                 1.5779,                0.73718,                 1.4651,              0.0098961,              0.0098961,              0.0098961
                    108,                0.90779,                0.62641,                 1.0237,                0.84713,                0.89403,                0.88819,                 0.5109,                 1.6888,                0.77164,                 1.5401,              0.0098951,              0.0098951,              0.0098951
                    109,                0.93644,                  0.644,                 1.0547,                0.88762,                0.80645,                0.87084,                 0.5043,                 1.7042,                0.84677,                 1.5384,              0.0098941,              0.0098941,              0.0098941
                    110,                0.91818,                0.63265,                 1.0373,                0.92457,                0.83871,                0.91605,                  0.555,                 1.5371,                0.85205,                 1.4277,              0.0098931,              0.0098931,              0.0098931
                    111,                0.96292,                0.63933,                 1.0379,                0.92778,                0.82904,                 0.9152,                0.56438,                 1.5232,                0.77801,                 1.4532,              0.0098921,              0.0098921,              0.0098921
                    112,                0.89769,                 0.6248,                 1.0147,                0.88477,                0.80645,                0.88039,                0.55314,                 1.6578,                0.81446,                 1.4749,              0.0098911,              0.0098911,              0.0098911
                    113,                 0.9237,                0.64304,                 1.0447,                0.87817,                 0.9302,                0.93583,                0.52556,                 1.6745,                0.74869,                   1.45,              0.0098901,              0.0098901,              0.0098901
                    114,                0.96407,                0.65211,                  1.051,                0.95984,                0.77117,                0.90624,                 0.5635,                 1.6839,                 0.8376,                 1.4749,              0.0098891,              0.0098891,              0.0098891
                    115,                0.97058,                0.63881,                 1.0542,                0.92848,                0.83759,                0.92969,                0.54076,                  1.693,                0.86448,                 1.5316,              0.0098881,              0.0098881,              0.0098881
                    116,                0.95263,                0.65113,                 1.0384,                0.88329,                0.80645,                0.83434,                0.54146,                 1.6075,                0.81558,                 1.5865,              0.0098871,              0.0098871,              0.0098871
                    117,                0.98787,                0.65192,                 1.0688,                0.86294,                0.87097,                0.83128,                0.52415,                 1.6949,                0.75877,                 1.6084,              0.0098861,              0.0098861,              0.0098861
                    118,                0.94914,                0.65431,                 1.0374,                0.86146,                0.74194,                 0.7937,                0.44862,                 1.8854,                 1.0931,                 1.7825,              0.0098852,              0.0098852,              0.0098852
                    119,                0.93685,                 0.6621,                 1.0398,                0.92797,                0.83139,                0.86842,                0.52778,                 1.7714,                0.84609,                 1.6096,              0.0098842,              0.0098842,              0.0098842
                    120,                0.92827,                0.65516,                 1.0472,                0.87751,                0.83871,                0.88666,                0.55503,                 1.7281,                0.76287,                 1.6337,              0.0098832,              0.0098832,              0.0098832
                    121,                0.92685,                0.64226,                 1.0459,                0.87086,                0.87097,                0.87758,                0.56608,                 1.6803,                0.75026,                 1.6858,              0.0098822,              0.0098822,              0.0098822
                    122,                0.93141,                0.61429,                 1.0165,                0.86563,                0.87097,                0.89351,                0.56929,                 1.6228,                0.82999,                 1.5705,              0.0098812,              0.0098812,              0.0098812
                    123,                 0.9292,                0.63281,                 1.0393,                0.88852,                0.83871,                0.89596,                 0.5712,                 1.6053,                0.82251,                 1.5697,              0.0098802,              0.0098802,              0.0098802
                    124,                0.88247,                0.61306,                 1.0144,                0.88864,                0.77233,                0.86266,                0.57255,                 1.5555,                0.78294,                 1.5744,              0.0098792,              0.0098792,              0.0098792
                    125,                0.88627,                0.63038,                 1.0155,                0.85637,                0.76946,                0.79846,                0.53347,                 1.5772,                0.76709,                 1.5416,              0.0098782,              0.0098782,              0.0098782
                    126,                0.92592,                0.62302,                 1.0077,                0.80073,                0.87097,                0.83856,                0.47727,                  1.607,                0.84389,                 1.4606,              0.0098772,              0.0098772,              0.0098772
                    127,                0.93877,                0.63713,                 1.0371,                0.79803,                0.77419,                  0.811,                0.53257,                 1.6156,                0.83826,                 1.5019,              0.0098763,              0.0098763,              0.0098763
                    128,                0.89081,                0.61531,                 1.0329,                0.83731,                0.83029,                0.78053,                0.47743,                 1.7161,                 0.9181,                 1.6954,              0.0098753,              0.0098753,              0.0098753
                    129,                0.87499,                0.61491,                 1.0082,                0.88928,                0.77419,                0.83193,                0.50925,                 1.6451,                0.96023,                 1.4906,              0.0098743,              0.0098743,              0.0098743
                    130,                0.89125,                0.62336,                 1.0252,                0.89272,                0.80531,                 0.8052,                0.49254,                  1.675,                0.90728,                    1.5,              0.0098733,              0.0098733,              0.0098733
                    131,                0.89401,                0.60356,                 1.0203,                0.86227,                0.83871,                0.88271,                0.55543,                 1.5859,                0.73434,                 1.5005,              0.0098723,              0.0098723,              0.0098723
                    132,                0.88832,                0.59572,                  1.002,                0.88791,                0.80645,                0.89829,                0.53277,                 1.7307,                0.73168,                 1.5194,              0.0098713,              0.0098713,              0.0098713
                    133,                0.94194,                0.63732,                 1.0414,                0.83556,                0.83871,                0.83994,                0.52167,                 1.7416,                0.75353,                 1.6731,              0.0098703,              0.0098703,              0.0098703
                    134,                0.87001,                0.60901,                 1.0077,                0.85285,                0.80645,                0.82714,                0.54284,                  1.606,                0.79835,                 1.5807,              0.0098693,              0.0098693,              0.0098693
